(trendCoefficient= '1.5416835259032804', state= 'Alberta', country= 'Canada', continent= 'America'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '6.885971616538536', state= '', country= 'Sweden', continent= 'Europa'weekYear= '2020-W21,[(5/18/20,234.0)])
(trendCoefficient= '0.2783797149665063', state= '', country= 'Kyrgyzstan', continent= 'Asia'weekYear= '2020-W05,[(2/2/20,0.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,0.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '0.8564417269852688', state= '', country= 'Azerbaijan', continent= 'Asia'weekYear= '2020-W08,[(2/23/20,0.0), (2/22/20,0.0), (2/21/20,0.0), (2/20/20,0.0), (2/19/20,0.0), (2/18/20,0.0), (2/17/20,0.0)])
(trendCoefficient= '1.5416835259032804', state= 'Alberta', country= 'Canada', continent= 'America'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
(trendCoefficient= '1.5416835259032804', state= 'Alberta', country= 'Canada', continent= 'America'weekYear= '2020-W13,[(3/29/20,79.0), (3/28/20,0.0), (3/27/20,56.0), (3/26/20,127.0), (3/25/20,0.0), (3/24/20,58.0), (3/23/20,42.0)])
(trendCoefficient= '5.17044313566815', state= '', country= 'Ukraine', continent= 'Europa'weekYear= '2020-W08,[(2/23/20,0.0), (2/22/20,0.0), (2/21/20,0.0), (2/20/20,0.0), (2/19/20,0.0), (2/18/20,0.0), (2/17/20,0.0)])
(trendCoefficient= '0.4593729862578489', state= '', country= 'Somalia', continent= 'Africa'weekYear= '2020-W20,[(5/17/20,64.0), (5/16/20,73.0), (5/15/20,0.0), (5/14/20,65.0), (5/13/20,49.0), (5/12/20,81.0), (5/11/20,35.0)])
(trendCoefficient= '4.8609075514394045', state= '', country= 'South Africa', continent= 'Africa'weekYear= '2020-W21,[(5/18/20,918.0)])
(trendCoefficient= '3.778986647484602', state= '', country= 'Romania', continent= 'Europa'weekYear= '2020-W20,[(5/17/20,167.0), (5/16/20,267.0), (5/15/20,190.0), (5/14/20,245.0), (5/13/20,224.0), (5/12/20,190.0), (5/11/20,226.0)])
(trendCoefficient= '0.25345052376028415', state= '', country= 'Kenya', continent= 'Africa'weekYear= '2020-W21,[(5/18/20,25.0)])
(trendCoefficient= '1.7414542402853332', state= '', country= 'Kazakhstan', continent= 'Asia'weekYear= '2020-W15,[(4/9/20,54.0), (4/8/20,30.0), (4/7/20,35.0), (4/6/20,78.0), (4/12/20,86.0), (4/11/20,53.0), (4/10/20,31.0)])
(trendCoefficient= '0.5525633532646975', state= '', country= 'Cote d'Ivoire', continent= 'Africa'weekYear= '2020-W17,[(4/26/20,73.0), (4/25/20,0.0), (4/24/20,73.0), (4/23/20,52.0), (4/22/20,36.0), (4/21/20,69.0), (4/20/20,0.0)])
(trendCoefficient= '0.27703846903145557', state= '', country= 'Zambia', continent= 'Africa'weekYear= '2020-W10,[(3/8/20,0.0), (3/7/20,0.0), (3/6/20,0.0), (3/5/20,0.0), (3/4/20,0.0), (3/3/20,0.0), (3/2/20,0.0)])
(trendCoefficient= '15.682604265012214', state= '', country= 'Mexico', continent= 'America'weekYear= '2020-W05,[(2/2/20,0.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,0.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '28.464468222212233', state= '', country= 'Spain', continent= 'Europa'weekYear= '2020-W18,[(5/3/20,884.0), (5/2/20,1366.0), (5/1/20,1781.0), (4/30/20,411.0), (4/29/20,0.0), (4/28/20,0.0), (4/27/20,0.0)])
(trendCoefficient= '2.861596906892056', state= '', country= 'Philippines', continent= 'Asia'weekYear= '2020-W17,[(4/26/20,285.0), (4/25/20,102.0), (4/24/20,211.0), (4/23/20,271.0), (4/22/20,111.0), (4/21/20,140.0), (4/20/20,200.0)])
(trendCoefficient= '0.7502435223066433', state= '', country= 'Hungary', continent= 'Europa'weekYear= '2020-W06,[(2/9/20,0.0), (2/8/20,0.0), (2/7/20,0.0), (2/6/20,0.0), (2/5/20,0.0), (2/4/20,0.0), (2/3/20,0.0)])
(trendCoefficient= '0.2696428839035502', state= '', country= 'Thailand', continent= 'Asia'weekYear= '2020-W14,[(4/5/20,102.0), (4/4/20,89.0), (4/3/20,103.0), (4/2/20,104.0), (4/1/20,120.0), (3/31/20,127.0), (3/30/20,136.0)])
(trendCoefficient= '1.2649297906457462', state= '', country= 'Armenia', continent= 'Asia'weekYear= '2020-W16,[(4/19/20,43.0), (4/18/20,47.0), (4/17/20,42.0), (4/16/20,48.0), (4/15/20,44.0), (4/14/20,28.0), (4/13/20,26.0)])
(trendCoefficient= '1.7414542402853332', state= '', country= 'Kazakhstan', continent= 'Asia'weekYear= '2020-W19,[(5/9/20,141.0), (5/8/20,256.0), (5/7/20,156.0), (5/6/20,217.0), (5/5/20,156.0), (5/4/20,129.0), (5/10/20,115.0)])
(trendCoefficient= '25.951835034242983', state= '', country= 'Italy', continent= 'Europa'weekYear= '2020-W09,[(3/1/20,566.0), (2/29/20,240.0), (2/28/20,233.0), (2/27/20,202.0), (2/26/20,131.0), (2/25/20,93.0), (2/24/20,74.0)])
(trendCoefficient= '30.69651126197006', state= '', country= 'India', continent= 'Asia'weekYear= '2020-W05,[(2/2/20,1.0), (2/1/20,0.0), (1/31/20,0.0), (1/30/20,1.0), (1/29/20,0.0), (1/28/20,0.0), (1/27/20,0.0)])
(trendCoefficient= '1.727217551589264', state= '', country= 'Morocco', continent= 'Africa'weekYear= '2020-W09,[(3/1/20,0.0), (2/29/20,0.0), (2/28/20,0.0), (2/27/20,0.0), (2/26/20,0.0), (2/25/20,0.0), (2/24/20,0.0)])
(trendCoefficient= '18.689857483253157', state= '', country= 'Iran', continent= 'Asia'weekYear= '2020-W04,[(1/26/20,0.0), (1/25/20,0.0), (1/24/20,0.0), (1/23/20,0.0), (1/22/20,0.0)])
